Date,City,Cause of Death
02/11/2013,Phuket -  Thailand,Veh. Accid-Motorcy.
03/08/2013,Pak Kret -  Nonthaburi -  Thailand,Veh. Accid-Motorcy.
03/28/2013,A.Muang -  Chiang Mai -  Thailand,Veh. Accid-Motorcy.
04/21/2013,Bangkok -  Thailand,Drug-Related
05/28/2013,Krabi -  Thailand,Drowning
06/01/2013,A.Jom Thong -  Chiang Mai -  Thailand,Drowning
06/03/2013,A. Mae Lao -  Chiang Rai -  Thailand,Veh. Accid-Motorcy.
06/15/2013,Phuket -  Thailand,Veh. Accid-Motorcy.
06/16/2013,Pittsanulok -  Thailand,Veh. Accid-Auto
07/03/2013,Si Racha District -  Chon Buri -  Thailand,Suicide
07/06/2013,Bangna -  Bangkok -  Thailand,Homicide
07/07/2013,Mueang Phuket -  Phuket -  Thailand,Drowning
07/31/2013,Mueang Krabi District -  Krabi -  Thailand,Homicide
08/11/2013,Koh Chang -  Trat -  Thailand,Drug-Related
08/26/2013,Silom -  Bang Rak -  Bangkok -  Thailand,Drowning
08/29/2013,Nong Prue -  Bang Lamung -  Chon Buri -  Thailand,Homicide
11/19/2013,Surat Thani -  Thailand,Drug-Related
01/07/2014,Mueang Krabi - Krabi,Veh. Accid-Auto
01/11/2014, Banglamung - Chonburi,Homicide
01/11/2014, Banglamung - Chonburi,Homicide
01/16/2014,Chiang Mai,Veh. Accid-Motorcy.
01/17/2014,A. San Khampang - Chiang Mai,Veh. Accid-Motorcy.
01/21/2014,Ratchaburi,Veh. Accid-Auto
02/02/2014,A.Muang - Chiang Mai,Other Accident
02/19/2014,Bangkok,Suicide
02/22/2014,Ranong,Suicide
02/28/2014,Bang Lamung - Chon Buri,Suicide
03/17/2014,Bangkok,Veh. Accid-Motorcy.
03/17/2014,Bangkok,Suicide
04/07/2014,Bang Na - Bangkok,Suicide
04/28/2014, Chiang Dao  - Chiang Mai,Veh. Accid-Motorcy.
05/02/2014,Bang Lamung  - Chon Buri,Veh. Accid-Motorcy.
05/02/2014,Ratchaburi,Veh. Accid-Motorcy.
05/26/2014,Banglamung - Chonburi,Veh. Accid-Motorcy.
05/29/2014, Bangkok,Other Accident
06/07/2014,Tak - Tak,Veh. Accid-Auto
06/07/2014,Tak - Tak,Veh. Accid-Auto
06/07/2014,Tak - Tak,Veh. Accid-Auto
06/25/2014,Ko Samui District - Surat Thani,Drug-Related
07/15/2014,Mueang - Ubon Ratchathani,Suicide
07/17/2014,A. Muang - Chiang Mai,Veh. Accid-Pedestr.
07/27/2014,A. Muang - Chiang Mai,Other Accident
08/11/2014,Chiang Rai,Veh. Accid-Motorcy.
08/15/2014,A. Mae Rim - Chiang Mai,Drug-Related
08/22/2014,Moo Mon -  Mueang -  Udon Thani,Veh. Accid-Other
08/24/2014,Bophut -  Koh Samui - Surat Thani,Veh. Accid-Motorcy.
08/29/2014,Ban Dan District  - Buri Ram,Suicide
09/04/2014,Mueang Nakhon Ratchasima District - Nakhon Ratchasima,Veh. Accid-Motorcy.
09/12/2014,Khlong Toei - Bangkok,Suicide
09/22/2014,Bang Lamung - Chonburi,Suicide
09/22/2014,Klongton - Bangkok,Suicide
10/31/2014,Klongtoey Nua -  Wattana - Bangkok,Veh. Accid-Motorcy.
11/05/2014, -  Thailand,Suicide
11/07/2014,Non Din Daeng District - Buriram,Suicide
11/09/2014,Paknam -  Krabi,Veh. Accid-Motorcy.
11/12/2014,Udon Thani,Veh. Accid-Motorcy.
11/16/2014,Tardthong -  Mueang - Yasothon,Homicide
11/21/2014, A. Pasang -  Lamphun,Veh. Accid-Other
12/08/2014,Phe -  Mueang Rayong - Rayong,Drowning
12/15/2014,Khlong Toei District - Bangkok,Drug-Related
01/24/2015,Vadhana District -  Bangkok,Homicide
01/25/2015,Phra Chomklao Hospital -  Petchaburi,Veh. Accid-Auto
02/02/2015,Taladyai -  Muang -  Phuket,Suicide
02/03/2015,Bang Lamung District -  Chonburi,Suicide
02/11/2015,Lumpini Sub-district - Pathum Wan -  Bangkok,Suicide
03/06/2015,T. Chang Moi A. Muang -  Chiang Mai,Drug-Related
03/10/2015,T. Chang Moi A. Muang -  Chiang Mai,Veh. Accid-Motorcy.
03/13/2015,T. Chang Moi A. Muang -  Chiang Mai,Veh. Accid-Motorcy.
03/17/2015,Klongtoey Nua -  Wattana -  Bangkok,Drug-Related
03/17/2015,Muang District -  Nonthaburi,Suicide
04/07/2015,Pathumwan Distrist -  Bangkok,Drug-Related
04/22/2015,Doi Saket District -  Chiang Mai,Suicide
05/17/2015,Mueang Nakhon Ratchasima District -  Nakhon Ratchasima,Veh. Accid-Motorcy.
06/24/2015,Khlong Toei Nuea -  Vadhana -  Bangkok,Veh. Accid-Motorcy.
07/03/2015,Koh Chang -  Trat,Drowning
07/12/2015,Prachuap Khiri Khan,Veh. Accid-Motorcy.
07/14/2015, Mueang - Chonburi,Suicide
07/16/2015,Bangkok,Other Accident
09/20/2015,Chiang Mai,Drug-Related
09/28/2015,Chiang Mai,Suicide
10/19/2015,Nakorn Pathom,Veh. Accid-Motorcy.
10/20/2015,Chiang Mai,Veh. Accid-Auto
11/08/2015,Mueang - Surat Thani,Veh. Accid-Auto
11/30/2015,Chiang Mai,Suicide
12/01/2015,Prachin Buri,Veh. Accid-Pedestr.
01/02/2016,Mueang - Ubon Ratchathani,Veh. Accid-Motorcy.
01/16/2016,Bangkok,Veh. Accid-Pedestr.
01/16/2016,Phuket ,Other Accident
01/20/2016,Phetchaburi,Veh. Accid-Motorcy.
01/28/2016,Surat Thaini,Drowning
01/30/2016,Chiang Mai,Suicide
02/08/2016,Bangkok,Other Accident
03/03/2016,Chiang Mai,Suicide
03/05/2016,Phuket,Suicide
03/27/2016,Bangkok,Suicide
03/27/2016,Chiang Mai,Other Accident
04/05/2016,Nonthaburi,Drowning
04/26/2016,Chon Buri,Suicide
05/01/2016,Pattaya ,Veh. Accid-Pedestr.
06/30/2016,Pattaya,Veh. Accid-Pedestr.
07/09/2016,A.San Kham Phaeng -  Chiang Mai,Veh. Accid-Motorcy.
07/20/2016,Padad A. Muang -  Chiang Mai,Homicide
