Index,Date,City,Cause of Death,Country
217,6/2/2004,Virgin Gorda -  British Virgin Islands,Other Accident,Barbados
218,6/11/2004,Tortola -  British Virgin Islands,Vehicle Accident,Barbados
219,11/9/2004,St. Michael -  Barbados,Drowning,Barbados
220,1/19/2005,Road Town -  Tortola -  British Virgin Islands,Other Accident,Barbados
221,3/25/2005,Prospect -  St. James -  Barbados,Vehicle Accident,Barbados
222,4/23/2005,Accra Beach -  Christ Church -  Barbados,Drowning,Barbados
223,10/24/2006,Barbados -  British Virgin Islands,Suicide,Barbados
224,1/10/2007,Stoney Ground -  Barbados,Drowning,Barbados
225,2/22/2007,Anguilla -  Barbados,Drowning,Barbados
226,4/4/2007,Blefton Beach -  St Michael -  Barbados,Drowning,Barbados
227,6/7/2007,Barbados -  British Virgin Islands,Vehicle Accident,Barbados
228,1/2/2008,Gallion Bay -  Barbados,Drowning,Barbados
229,4/10/2008,Stoney Ground -  Barbados,Drowning,Barbados
230,4/24/2008,Barbados -  British Virgin Islands,Drowning,Barbados
231,6/22/2008,West Farm -  Barbados,Vehicle Accident,Barbados
232,6/15/2003,Brussels -  Belgium,Homicide,Belgium
233,6/13/2004,Brussels -  Belgium,Vehicle Accident,Belgium
234,2/28/2005,Brugge -  Belgium,Other Accident,Belgium
235,12/3/2007,Vilvoorde -  Belgium,Other Accident,Belgium
236,12/27/2002,Caribbean Sea -  Between English Caye And Turneffe Reef,Maritime Accident,Belize
237,1/20/2003,Between Mls 28 And 29 Western Highway -  Cayo District -  Belize,Vehicle Accident,Belize
238,1/20/2003,Western Highway -  Belize District -  Belize,Vehicle Accident,Belize
239,2/19/2003,San Pedro Town -  Ambergris Caye -  Belize,Drowning,Belize
240,4/10/2003,San Pedro Town -  Belize,Drowning,Belize
241,6/24/2003,Toledo District -  Belize,Suicide,Belize
242,10/22/2003,Belize City -  Belize,Drowning,Belize
243,11/27/2003,Placencia Village -  Belize,Drowning,Belize
244,2/15/2004,Corozal Town -  Belize,Vehicle Accident,Belize
245,2/27/2004,Manatee Village -  Belize,Homicide,Belize
246,4/4/2004,Silk Caye -  Placencia Village -  Stann Creek District -  Belize,Drowning,Belize
247,7/25/2004,Margaret Village -  Cayo District -  Belize,Homicide,Belize
248,11/9/2004,South Water Caye -  Stann Creek Dist. -  Belize,Drowning,Belize
249,11/27/2004,Caye Caulker -  Belizean Waters -  Belize,Other Accident,Belize
250,1/29/2005,Corozal -  Belize,Vehicle Accident,Belize
251,2/19/2005,San Pedro Town -  Belize,Drowning,Belize
252,3/11/2005,San Ignacio Town -  Cayo District -  Belize,Homicide,Belize
253,3/13/2005,San Pedro Ambergris Caye -  Belize,Drowning,Belize
254,6/7/2005,Caye Caulker Village -  Belize District -  Belize,Other Accident,Belize
255,8/20/2005,Belize City -  Belize,Homicide,Belize
256,9/14/2005,Dangriga Town -  Belize,Other Accident,Belize
257,11/13/2005,Indian Creek Village -  Belize,Homicide,Belize
258,11/18/2005,Mountain Pinde Ridge Area -  Belize,Air Accident,Belize
259,11/18/2005,Mountain Pine Ridge Area -  Belize,Air Accident,Belize
260,12/18/2005,San Pedro Town -  Belize,Homicide,Belize
261,2/6/2006,Alamina Drive -  Caye Caulker Village -  Belize,Drowning,Belize
262,2/9/2006,Ambergris Caye -  Belize,Maritime Accident,Belize
263,2/16/2006,San Pedro Town -  Belize,Other Accident,Belize
264,2/26/2006,San Pedro Town -  Belize,Drowning,Belize
265,6/9/2006,San Pedro Town -  Belize,Drowning,Belize
266,8/15/2006,San Ignacio  -  Cayo District -  Belize,Homicide,Belize
267,10/13/2006,San Pedro Town -  Belize,Suicide,Belize
268,1/16/2007,Belize City -  Belize -  Belize,Drowning,Belize
269,3/11/2007,San Ignacio Town -  Cayo District -  Belize,Suicide,Belize
270,7/7/2007,San Pedro Town,Drowning,Belize
271,7/16/2007,Teakettle Village -  Cayo District,Homicide,Belize
272,9/11/2007,Northern Highway -  Orange Walk Town,Vehicle Accident,Belize
273,9/20/2007,Belmopan -  Belize ,Vehicle Accident,Belize
274,1/26/2003,Paget -  Bermuda,Drug Related,Bermuda
275,7/26/2003,Paget -  Bermuda,Vehicle Accident,Bermuda
276,10/2/2004, paget -  Bermuda,Vehicle Accident,Bermuda
277,3/24/2008,Paget -  Bermuda,Vehicle Accident,Bermuda
278,4/12/2008,Paget -  Bermuda,Vehicle Accident,Bermuda
279,10/23/2002,Ascencion-guarayos -  Santa Cruz -  Bolivia,Homicide,Bolivia
280,11/25/2002,San Marcos -  Potosi -  Bolivia,Vehicle Accident,Bolivia
281,6/7/2003,Mount Illimani -  La Paz -  Bolivia,Other Accident,Bolivia
282,6/7/2003,Mount Illimani -  La Paz -  Bolivia,Other Accident,Bolivia
283,7/3/2003,Mount Illimani -  La Paz -  Bolivia,Other Accident,Bolivia
284,12/9/2003,Pando -  Bolivia,Air Accident,Bolivia
285,3/19/2004,Bermejo -  Santa Cruz -  Boliviz,Vehicle Accident,Bolivia
286,5/12/2004,El Alto -  La Paz -  Bolivia,Vehicle Accident,Bolivia
287,6/24/2004,Cochabamba -  Bolivia,Vehicle Accident,Bolivia
288,6/24/2004,Cochabamba -  Bolivia,Vehicle Accident,Bolivia
289,9/24/2004,Beni -  Bolivia,Vehicle Accident,Bolivia
290,10/10/2004,Santa Cruz -  Bolivia,Drowning,Bolivia
291,1/7/2005,La Paz -  Bolivia,Vehicle Accident,Bolivia
292,2/21/2005,Cochabamba -  Bolivia,Other Accident,Bolivia
293,8/13/2006,Cochabamba -  Bolivia,Drowning,Bolivia
294,8/24/2006,Alto Irpavi - la Paz -  Bolivia,Other Accident,Bolivia
295,4/19/2008,Carretera A Yolosa -  La Paz -  Bolivia,Vehicle Accident,Bolivia
296,10/26/2005,Lukavac -  Bosnia-herzegovina,Homicide,Bosnia
297,11/18/2007,Tuzla -  Bosnia-herzegovina,Other Accident,Bosnia
298,7/1/2007,A1 Road -  Near Dikabeya Land -  Palapye -  Palapye,Vehicle Accident,Botswana
299,5/30/2008,Gaborone -  Botswana,Vehicle Accident,Botswana
300,11/21/2002,Brasilia -  Brazil,Drowning,Brazil
301,3/9/2003,Sao Paulo -  Brazil,Other Accident,Brazil
302,4/22/2003,Caxeta-campos De Goytacazes -  Rio De Janeiro -  Brazil,Vehicle Accident,Brazil
303,4/30/2003,Santa Etelvina -  Manaus -  Brazil,Homicide,Brazil
304,5/3/2003,Sao Paulo -  Brazil,Disaster,Brazil
305,5/7/2003,Rio De Janeiro -  Brazil,Vehicle Accident,Brazil
306,5/8/2003,Leblon -  Rio De Janeiro -  Brazil,Suicide,Brazil
307,6/13/2003,Aquiraz -  Ceara -  Brazil,Drowning,Brazil
308,6/22/2003,Costeira Tijucupava -  Pereque -  Guaruja -  Brazil,Other Accident,Brazil
309,7/10/2003,Br 418 -  Km 91 -  Carlos Chagas -  Minas Gerais -  Brazil,Vehicle Accident,Brazil
310,7/10/2003,Br 418 -  Km 91 -  Carlos Chagas -  Minas Gerais -  Brazil,Vehicle Accident,Brazil
311,7/10/2003,Br 418 -  Km 91 -  Carlos Chagas -  Minas Gerais -  Brazil,Vehicle Accident,Brazil
312,9/13/2003,Rodovia Br 101 Km 459 -  Paraty -  Sao Paulo -  Brazil,Vehicle Accident,Brazil
313,11/14/2003,Copacabana -  Rio De Janeiro -  Brazil,Vehicle Accident,Brazil
314,11/22/2003,Praia De Pipa -  Tibau Do Sul -  Rio Grande Do Norte -  Brazil,Drowning,Brazil
315,11/26/2003,Rio-santos Road -  Paraty -  Rio De Janeiro -  Brazil,Vehicle Accident,Brazil
316,11/30/2003,Rua Cesar Mendonca 210 -  Barra Da Tijuca -  Rio De Janeiro -  Brazil,Homicide,Brazil
317,12/4/2003,Rio De Janeiro -  Brazil,Homicide,Brazil
318,12/31/2003,Rodovia Br-381 Km 53 In Central De Minas -  Mg -  Brazil,Vehicle Accident,Brazil
319,3/27/2004,Tibau Do Sul -  Rn -  Brazil,Homicide,Brazil
320,4/8/2004,Sao Paulo -  Sp -  Brazil,Homicide,Brazil
321,4/25/2004,Angra Dos Reis -  Rio De Janeiro -  Brazil,Vehicle Accident,Brazil
322,7/24/2004,Rio Das Ostras -  Rio De Janeiro -  Brazil,Drowning,Brazil
323,8/9/2004,Rio De Janeiro -  Brazil,Drowning,Brazil
324,1/7/2005,Barra De Sao Miguel -  Alagoas -  Brazil,Other Accident,Brazil
325,1/10/2005,Br 204 Road -  Km 79 -  Between Azu And Mossoro -  Rn Brazil,Vehicle Accident,Brazil
326,2/10/2005,Estrada De Ponta Negra -  Manaus -  Brazil,Vehicle Accident,Brazil
327,2/12/2005,Municipio De Anapu -  Para -  Brazil,Homicide,Brazil
328,4/12/2005,Casa De Saude Campinas Campinas -  Sao Paulo -  Brazil,Other Accident,Brazil
329,5/13/2005,Rua Da Igualdade -  59 Itacuruca -  Rj -  Brazil,Drowning,Brazil
330,5/17/2005,Jaburuna -  Vila Velha -  Es -  Brazil,Drowning,Brazil
331,1/17/2006,Shin Qi 03 Conjunto 06 Casa 12 Lago Norte -  Brasilia -  Brazil,Other Accident,Brazil
332,2/18/2006,Sao Paulo -  Sp -  Brazil,Vehicle Accident,Brazil
333,2/23/2006,Rio De Janeiro -  Rj -  Brazil,Vehicle Accident,Brazil
334,2/28/2006,Praia De Juquehy -  Maresias -  Sao Sebastiao -  Sp -  Brazil,Drowning,Brazil
335,5/5/2006,Av. Orion S/n -  Barueri -  Sp -  Brazil,Vehicle Accident,Brazil
336,5/31/2006,Anapolis -  Go -  Brazil,Vehicle Accident,Brazil
337,7/8/2006,Santa Cruz Do Sul -  Rs -  Brazil,Vehicle Accident,Brazil
338,7/25/2006,Municipality Of Cristalina -  Goias -  Brazil,Vehicle Accident,Brazil
339,7/31/2006,Guarapari -  Espirito Santo -  Brazil,Vehicle Accident,Brazil
340,8/17/2006,Goiania -  Go -  Brazil,Suicide,Brazil
341,9/29/2006,Near Peixoto De Azevdo Mt -  Brazil,Air Accident,Brazil
342,1/10/2007,Road Br 116 -  Serrinha -  Bahia -  Brazil,Vehicle Accident,Brazil
343,2/6/2007,Florianopolis -  Santa Catarina -  Brazil,Suicide,Brazil
344,5/25/2007, city Of Rio De Janeiro -  Rio De Janeiro -  Brazil,Homicide,Brazil
345,7/17/2007,Sao Paulo -  Sp -  Brazil,Air Accident,Brazil
346,10/11/2007,Porto Seguro -  Bahia -  Brazil,Homicide,Brazil
347,12/26/2007,Br 101 -  Bairro Pinheira -  Palhoca -  Santa Catarina -  Brazil,Vehicle Accident,Brazil
348,1/21/2008,Rio Grande De Norte -  Brazil,Homicide,Brazil
